text
"金成隆老師的中級會計學（一）課程difficult分數為86.8,busy分數為78.02,low分數為63.97,high分數為58.74,easy分數為24.38,interesting分數為86.04,clear分數為72.85,implicit分數為86.12,heavy分數為76.57,boring分數為20.25,thoughtful分數為90.57,sweet分數為38.17,hard分數為83.2,cold分數為71.01."
"陳錦烽老師的中級會計學（一）課程difficult分數為95.58,busy分數為95.44,low分數為73.7,high分數為94.21,easy分數為95.11,interesting分數為98.24,clear分數為98.46,implicit分數為96.69,heavy分數為91.4,boring分數為51.59,thoughtful分數為98.71,sweet分數為97.18,hard分數為95.26,cold分數為90.83."
"姚維仁老師的中級會計學（一）課程difficult分數為89.1,busy分數為83.81,low分數為14.62,high分數為95.67,easy分數為13.19,interesting分數為91.39,clear分數為83.27,implicit分數為84.83,heavy分數為54.41,boring分數為4.96,thoughtful分數為90.4,sweet分數為84.85,hard分數為86.4,cold分數為37.48."
"黃政仁老師的中級會計學（一）課程difficult分數為88.47,busy分數為91.72,low分數為70.04,high分數為71.12,easy分數為24.92,interesting分數為84.5,clear分數為84.01,implicit分數為95.74,heavy分數為89.99,boring分數為46.07,thoughtful分數為95.13,sweet分數為46.07,hard分數為81.11,cold分數為69.49."
"陳明進老師的中級會計學（二）課程difficult分數為73.38,busy分數為75.52,low分數為58.2,high分數為70.25,easy分數為58.81,interesting分數為75.85,clear分數為71.49,implicit分數為78.06,heavy分數為69.48,boring分數為38.61,thoughtful分數為79.92,sweet分數為49.21,hard分數為71.73,cold分數為55.45."
"戚務君老師的中級會計學（二）課程difficult分數為91.01,busy分數為97.94,low分數為22.62,high分數為18.62,easy分數為5.97,interesting分數為84.2,clear分數為32.52,implicit分數為39.66,heavy分數為87.22,boring分數為2.72,thoughtful分數為87.94,sweet分數為51.94,hard分數為88.8,cold分數為16.01."
"金成隆老師的中級會計學（二）課程difficult分數為91.9,busy分數為92.79,low分數為84.58,high分數為89.11,easy分數為70.59,interesting分數為93.51,clear分數為92.16,implicit分數為92.62,heavy分數為87.63,boring分數為72.06,thoughtful分數為94.17,sweet分數為90.23,hard分數為93.09,cold分數為88.49."
"潘健民老師的中級會計學（二）課程difficult分數為85.24,busy分數為80.55,low分數為65.53,high分數為65.38,easy分數為15.21,interesting分數為87.43,clear分數為60.66,implicit分數為90.91,heavy分數為82.88,boring分數為20.99,thoughtful分數為88.09,sweet分數為77.85,hard分數為83.95,cold分數為71.65."
"陳錦烽老師的中級會計學（二）課程difficult分數為88.7,busy分數為91.62,low分數為88.51,high分數為96.63,easy分數為59.1,interesting分數為97.23,clear分數為98.04,implicit分數為96.38,heavy分數為89.86,boring分數為46.51,thoughtful分數為98.42,sweet分數為96.07,hard分數為92.09,cold分數為85.56."
"姚維仁老師的中級會計學（二）課程difficult分數為97.73,busy分數為96.21,low分數為52.65,high分數為74.21,easy分數為12.37,interesting分數為96.9,clear分數為90.38,implicit分數為68.34,heavy分數為96.49,boring分數為6.4,thoughtful分數為97.0,sweet分數為95.23,hard分數為97.44,cold分數為30.49."
"黃政仁老師的中級會計學（二）課程difficult分數為88.18,busy分數為93.71,low分數為67.78,high分數為89.57,easy分數為61.51,interesting分數為91.6,clear分數為88.04,implicit分數為96.0,heavy分數為84.46,boring分數為40.55,thoughtful分數為96.49,sweet分數為88.43,hard分數為92.0,cold分數為67.34."
"陳明進老師的中級會計學（三）課程difficult分數為86.93,busy分數為91.98,low分數為79.36,high分數為92.1,easy分數為42.58,interesting分數為96.85,clear分數為96.71,implicit分數為93.52,heavy分數為93.4,boring分數為33.57,thoughtful分數為97.76,sweet分數為93.75,hard分數為95.31,cold分數為82.1."
"金成隆老師的中級會計學（三）課程difficult分數為95.71,busy分數為96.55,low分數為91.68,high分數為95.73,easy分數為72.43,interesting分數為97.31,clear分數為97.19,implicit分數為92.72,heavy分數為95.17,boring分數為71.92,thoughtful分數為97.59,sweet分數為91.01,hard分數為96.63,cold分數為91.74."
"王文英老師的成本管理會計（一）課程difficult分數為75.77,busy分數為78.41,low分數為62.32,high分數為76.04,easy分數為45.22,interesting分數為82.46,clear分數為84.54,implicit分數為80.7,heavy分數為84.25,boring分數為19.6,thoughtful分數為89.7,sweet分數為77.0,hard分數為74.06,cold分數為43.78."
"梁嘉紋老師的成本管理會計（一）課程difficult分數為75.28,busy分數為91.46,low分數為67.73,high分數為88.27,easy分數為70.53,interesting分數為94.74,clear分數為95.32,implicit分數為89.05,heavy分數為85.2,boring分數為56.75,thoughtful分數為94.87,sweet分數為91.03,hard分數為68.39,cold分數為70.83."
"李佳玲老師的成本管理會計（一）課程difficult分數為19.33,busy分數為28.65,low分數為17.55,high分數為22.37,easy分數為18.3,interesting分數為33.43,clear分數為36.3,implicit分數為44.54,heavy分數為17.04,boring分數為6.6,thoughtful分數為46.19,sweet分數為33.06,hard分數為20.27,cold分數為26.25."
"徐愛恩老師的成本管理會計（一）課程difficult分數為90.78,busy分數為89.91,low分數為42.45,high分數為58.1,easy分數為12.82,interesting分數為93.94,clear分數為58.94,implicit分數為76.8,heavy分數為68.8,boring分數為7.63,thoughtful分數為85.61,sweet分數為77.52,hard分數為90.97,cold分數為56.17."
"林良榮老師的民法概要課程difficult分數為68.98,busy分數為77.69,low分數為32.16,high分數為66.83,easy分數為72.48,interesting分數為97.96,clear分數為93.33,implicit分數為77.99,heavy分數為62.21,boring分數為3.01,thoughtful分數為98.61,sweet分數為91.68,hard分數為63.04,cold分數為46.71."
"王正偉老師的民法概要課程difficult分數為64.04,busy分數為73.2,low分數為29.26,high分數為69.63,easy分數為51.75,interesting分數為78.64,clear分數為70.76,implicit分數為69.34,heavy分數為64.19,boring分數為38.98,thoughtful分數為79.71,sweet分數為69.19,hard分數為64.92,cold分數為42.41."
"王千維老師的民法概要課程difficult分數為96.31,busy分數為95.76,low分數為83.6,high分數為88.15,easy分數為62.39,interesting分數為95.88,clear分數為94.18,implicit分數為97.33,heavy分數為94.17,boring分數為76.08,thoughtful分數為98.1,sweet分數為96.21,hard分數為96.78,cold分數為92.42."
"劉明生老師的民法概要課程difficult分數為81.13,busy分數為75.98,low分數為65.92,high分數為66.9,easy分數為79.41,interesting分數為92.42,clear分數為85.03,implicit分數為93.52,heavy分數為62.51,boring分數為50.23,thoughtful分數為94.31,sweet分數為79.77,hard分數為72.41,cold分數為67.69."
"林佳和老師的民法概要課程difficult分數為98.91,busy分數為81.92,low分數為82.42,high分數為68.35,easy分數為40.28,interesting分數為95.68,clear分數為4.42,implicit分數為87.57,heavy分數為80.57,boring分數為4.39,thoughtful分數為85.49,sweet分數為81.35,hard分數為98.37,cold分數為51.59."
"詹聰哲老師的民法概要課程difficult分數為97.8,busy分數為97.04,low分數為95.51,high分數為97.7,easy分數為92.69,interesting分數為99.06,clear分數為98.8,implicit分數為97.81,heavy分數為97.45,boring分數為92.18,thoughtful分數為98.8,sweet分數為98.17,hard分數為97.95,cold分數為97.52."
"呂彥彬老師的民法概要課程difficult分數為70.98,busy分數為59.74,low分數為61.66,high分數為48.59,easy分數為56.76,interesting分數為74.06,clear分數為46.16,implicit分數為85.86,heavy分數為52.19,boring分數為28.92,thoughtful分數為85.9,sweet分數為50.11,hard分數為56.08,cold分數為55.14."
"李慧琳老師的個體經濟學課程difficult分數為77.05,busy分數為91.01,low分數為72.21,high分數為90.94,easy分數為78.61,interesting分數為96.44,clear分數為94.98,implicit分數為91.51,heavy分數為77.22,boring分數為28.97,thoughtful分數為96.36,sweet分數為92.48,hard分數為74.69,cold分數為64.52."
"陳鎮洲老師的個體經濟學課程difficult分數為77.65,busy分數為85.19,low分數為75.35,high分數為80.58,easy分數為74.67,interesting分數為95.27,clear分數為92.05,implicit分數為92.96,heavy分數為83.92,boring分數為43.82,thoughtful分數為95.99,sweet分數為93.37,hard分數為78.84,cold分數為85.62."
"徐麗振老師的個體經濟學課程difficult分數為75.16,busy分數為67.86,low分數為64.71,high分數為58.72,easy分數為3.91,interesting分數為66.99,clear分數為59.2,implicit分數為88.64,heavy分數為68.18,boring分數為9.93,thoughtful分數為85.27,sweet分數為26.3,hard分數為75.58,cold分數為53.5."
"周德宇老師的個體經濟學課程difficult分數為90.69,busy分數為50.27,low分數為45.29,high分數為11.36,easy分數為0.24,interesting分數為85.92,clear分數為4.16,implicit分數為21.43,heavy分數為39.1,boring分數為0.14,thoughtful分數為77.31,sweet分數為63.23,hard分數為88.27,cold分數為3.47."
"王信實老師的個體經濟學課程difficult分數為89.05,busy分數為93.19,low分數為10.55,high分數為7.07,easy分數為0.29,interesting分數為42.11,clear分數為17.7,implicit分數為9.23,heavy分數為38.09,boring分數為1.87,thoughtful分數為19.85,sweet分數為11.96,hard分數為83.62,cold分數為2.94."
"黃柏鈞老師的個體經濟學課程difficult分數為91.87,busy分數為90.88,low分數為70.36,high分數為81.67,easy分數為72.57,interesting分數為91.16,clear分數為86.04,implicit分數為83.52,heavy分數為89.51,boring分數為62.85,thoughtful分數為94.93,sweet分數為88.37,hard分數為91.11,cold分數為73.15."
"徐麗振老師的財政學課程difficult分數為84.93,busy分數為91.35,low分數為74.65,high分數為84.06,easy分數為45.61,interesting分數為88.5,clear分數為90.22,implicit分數為91.08,heavy分數為82.23,boring分數為59.06,thoughtful分數為94.48,sweet分數為58.09,hard分數為86.77,cold分數為69.73."
"陳香梅老師的財政學課程difficult分數為77.61,busy分數為85.84,low分數為75.66,high分數為77.45,easy分數為56.46,interesting分數為94.02,clear分數為90.82,implicit分數為90.13,heavy分數為80.33,boring分數為40.97,thoughtful分數為93.82,sweet分數為87.23,hard分數為84.26,cold分數為76.47."
"黃智聰老師的財政學課程difficult分數為88.65,busy分數為90.16,low分數為63.17,high分數為83.71,easy分數為63.37,interesting分數為91.05,clear分數為93.91,implicit分數為94.0,heavy分數為87.91,boring分數為53.14,thoughtful分數為94.81,sweet分數為88.47,hard分數為86.04,cold分數為79.06."
"陳國樑老師的財政學課程difficult分數為89.86,busy分數為91.01,low分數為88.95,high分數為95.11,easy分數為86.99,interesting分數為95.0,clear分數為96.01,implicit分數為95.9,heavy分數為93.96,boring分數為62.53,thoughtful分數為95.38,sweet分數為93.22,hard分數為90.93,cold分數為89.18."
"羅光達老師的財政學課程difficult分數為84.78,busy分數為95.86,low分數為62.9,high分數為86.92,easy分數為94.26,interesting分數為99.09,clear分數為98.14,implicit分數為92.73,heavy分數為97.5,boring分數為41.74,thoughtful分數為98.37,sweet分數為97.31,hard分數為96.5,cold分數為73.84."
"張勝文、陳國樑老師的財政學課程difficult分數為99.08,busy分數為95.36,low分數為64.76,high分數為76.88,easy分數為0.47,interesting分數為96.16,clear分數為41.95,implicit分數為73.56,heavy分數為92.67,boring分數為1.04,thoughtful分數為94.7,sweet分數為57.52,hard分數為98.97,cold分數為37.99."
"周德宇老師的財政學課程difficult分數為71.38,busy分數為54.51,low分數為74.16,high分數為16.2,easy分數為0.7,interesting分數為81.84,clear分數為4.25,implicit分數為48.89,heavy分數為2.81,boring分數為5.79,thoughtful分數為96.39,sweet分數為33.05,hard分數為66.23,cold分數為37.76."
"湛可南老師的財務管理課程difficult分數為82.25,busy分數為79.82,low分數為68.05,high分數為72.63,easy分數為35.08,interesting分數為90.63,clear分數為87.37,implicit分數為91.83,heavy分數為83.15,boring分數為31.18,thoughtful分數為93.35,sweet分數為82.85,hard分數為82.53,cold分數為73.25."
"盧敬植老師的財務管理課程difficult分數為92.89,busy分數為92.44,low分數為87.5,high分數為83.32,easy分數為55.36,interesting分數為95.46,clear分數為95.08,implicit分數為87.98,heavy分數為93.07,boring分數為62.46,thoughtful分數為97.4,sweet分數為84.78,hard分數為92.52,cold分數為89.7."
"林建秀老師的財務管理課程difficult分數為75.68,busy分數為53.34,low分數為51.97,high分數為50.45,easy分數為19.92,interesting分數為53.3,clear分數為51.21,implicit分數為70.35,heavy分數為64.51,boring分數為33.31,thoughtful分數為79.21,sweet分數為26.24,hard分數為58.26,cold分數為31.1."
"郭維裕老師的財務管理課程difficult分數為92.88,busy分數為97.54,low分數為90.0,high分數為97.66,easy分數為81.04,interesting分數為98.97,clear分數為98.18,implicit分數為98.04,heavy分數為95.12,boring分數為32.31,thoughtful分數為98.96,sweet分數為97.82,hard分數為97.77,cold分數為91.81."
"周冠男老師的財務管理課程difficult分數為94.33,busy分數為93.8,low分數為74.84,high分數為95.17,easy分數為86.51,interesting分數為96.91,clear分數為97.1,implicit分數為96.19,heavy分數為95.52,boring分數為51.31,thoughtful分數為97.28,sweet分數為95.98,hard分數為92.1,cold分數為84.69."
"黃嘉威老師的財務管理課程difficult分數為90.35,busy分數為90.09,low分數為70.94,high分數為93.22,easy分數為84.26,interesting分數為96.74,clear分數為96.91,implicit分數為94.65,heavy分數為81.63,boring分數為30.96,thoughtful分數為97.39,sweet分數為94.77,hard分數為84.61,cold分數為79.68."
"車倫周老師的財務管理課程difficult分數為89.97,busy分數為89.73,low分數為84.17,high分數為92.9,easy分數為74.2,interesting分數為96.39,clear分數為95.16,implicit分數為96.93,heavy分數為90.76,boring分數為53.81,thoughtful分數為97.86,sweet分數為95.23,hard分數為88.79,cold分數為91.55."
"盧業中老師的國際關係課程difficult分數為98.92,busy分數為97.97,low分數為24.06,high分數為95.79,easy分數為0.1,interesting分數為99.09,clear分數為74.78,implicit分數為75.26,heavy分數為14.2,boring分數為0.04,thoughtful分數為84.31,sweet分數為90.11,hard分數為98.55,cold分數為2.15."
"郭昕光老師的國際關係課程difficult分數為89.39,busy分數為89.53,low分數為78.46,high分數為66.01,easy分數為52.61,interesting分數為88.76,clear分數為80.58,implicit分數為92.2,heavy分數為84.97,boring分數為50.97,thoughtful分數為92.51,sweet分數為83.49,hard分數為87.78,cold分數為80.98."
"鄧中堅老師的國際關係課程difficult分數為87.07,busy分數為87.14,low分數為64.88,high分數為15.4,easy分數為3.73,interesting分數為92.1,clear分數為17.99,implicit分數為67.94,heavy分數為55.19,boring分數為1.57,thoughtful分數為75.17,sweet分數為53.02,hard分數為82.55,cold分數為11.24."
"蘇卓馨老師的國際關係課程difficult分數為58.14,busy分數為73.03,low分數為57.43,high分數為64.62,easy分數為36.59,interesting分數為85.98,clear分數為76.45,implicit分數為83.66,heavy分數為63.12,boring分數為24.42,thoughtful分數為88.43,sweet分數為81.82,hard分數為68.42,cold分數為39.07."
"楊文琪老師的國際關係課程difficult分數為48.27,busy分數為64.73,low分數為28.94,high分數為63.22,easy分數為44.88,interesting分數為80.02,clear分數為83.15,implicit分數為82.33,heavy分數為42.82,boring分數為22.73,thoughtful分數為86.31,sweet分數為75.15,hard分數為55.7,cold分數為35.0."
"楊一逵老師的國際關係課程difficult分數為76.81,busy分數為79.27,low分數為54.26,high分數為86.96,easy分數為67.22,interesting分數為96.81,clear分數為92.42,implicit分數為90.4,heavy分數為77.05,boring分數為25.95,thoughtful分數為93.99,sweet分數為94.81,hard分數為78.94,cold分數為66.71."
"馮慕文老師的國際關係課程difficult分數為64.77,busy分數為90.36,low分數為34.19,high分數為45.13,easy分數為43.0,interesting分數為88.78,clear分數為96.95,implicit分數為48.2,heavy分數為96.43,boring分數為1.17,thoughtful分數為95.73,sweet分數為79.05,hard分數為55.27,cold分數為16.91."
"蕭明福老師的貨幣銀行學課程difficult分數為44.96,busy分數為41.93,low分數為22.87,high分數為38.53,easy分數為10.23,interesting分數為50.36,clear分數為37.66,implicit分數為55.22,heavy分數為35.91,boring分數為6.22,thoughtful分數為58.77,sweet分數為23.73,hard分數為46.45,cold分數為12.71."
"李文傑老師的貨幣銀行學課程difficult分數為17.73,busy分數為5.75,low分數為6.84,high分數為0.8,easy分數為0.13,interesting分數為98.95,clear分數為1.69,implicit分數為3.66,heavy分數為0.49,boring分數為0.0,thoughtful分數為78.09,sweet分數為0.9,hard分數為13.92,cold分數為0.0."
"方中柔老師的貨幣銀行學課程difficult分數為91.25,busy分數為88.96,low分數為88.32,high分數為81.22,easy分數為72.81,interesting分數為76.98,clear分數為88.79,implicit分數為93.29,heavy分數為91.95,boring分數為83.29,thoughtful分數為93.58,sweet分數為74.84,hard分數為88.82,cold分數為87.97."
"賴廷緯老師的貨幣銀行學課程difficult分數為91.23,busy分數為89.94,low分數為88.48,high分數為92.34,easy分數為76.11,interesting分數為93.68,clear分數為94.6,implicit分數為95.09,heavy分數為86.37,boring分數為81.97,thoughtful分數為96.57,sweet分數為89.69,hard分數為94.24,cold分數為86.16."
"杜雨儒老師的軟體應用導論課程difficult分數為85.67,busy分數為44.41,low分數為57.25,high分數為46.22,easy分數為54.56,interesting分數為61.25,clear分數為17.81,implicit分數為77.38,heavy分數為20.18,boring分數為7.84,thoughtful分數為46.57,sweet分數為45.28,hard分數為73.93,cold分數為31.45."
"張裕隆老師的普通心理學課程difficult分數為72.83,busy分數為71.97,low分數為52.41,high分數為68.3,easy分數為56.45,interesting分數為76.82,clear分數為71.17,implicit分數為61.17,heavy分數為72.94,boring分數為22.36,thoughtful分數為79.67,sweet分數為64.54,hard分數為66.21,cold分數為56.5."
"洪福聲老師的總體經濟學課程difficult分數為92.0,busy分數為95.6,low分數為86.71,high分數為96.37,easy分數為93.21,interesting分數為97.68,clear分數為98.5,implicit分數為96.97,heavy分數為95.0,boring分數為70.39,thoughtful分數為98.07,sweet分數為97.56,hard分數為95.81,cold分數為93.75."
"蕭明福老師的總體經濟學課程difficult分數為81.16,busy分數為66.75,low分數為67.04,high分數為67.44,easy分數為59.74,interesting分數為81.01,clear分數為81.78,implicit分數為86.19,heavy分數為73.38,boring分數為21.8,thoughtful分數為91.19,sweet分數為73.4,hard分數為77.16,cold分數為60.36."
"陳香梅老師的總體經濟學課程difficult分數為91.06,busy分數為92.58,low分數為74.13,high分數為89.76,easy分數為81.93,interesting分數為97.07,clear分數為96.77,implicit分數為96.02,heavy分數為94.51,boring分數為25.71,thoughtful分數為97.82,sweet分數為95.14,hard分數為91.05,cold分數為88.92."
"莊奕琦老師的總體經濟學課程difficult分數為89.37,busy分數為94.73,low分數為50.78,high分數為91.96,easy分數為93.99,interesting分數為98.71,clear分數為98.32,implicit分數為97.44,heavy分數為93.91,boring分數為36.26,thoughtful分數為99.11,sweet分數為97.42,hard分數為90.54,cold分數為74.58."
"李文傑老師的總體經濟學課程difficult分數為69.81,busy分數為76.37,low分數為55.94,high分數為68.64,easy分數為16.92,interesting分數為80.67,clear分數為76.8,implicit分數為91.14,heavy分數為80.17,boring分數為24.25,thoughtful分數為87.68,sweet分數為56.89,hard分數為73.27,cold分數為73.52."
"王文杰老師的商事法課程difficult分數為98.66,busy分數為97.33,low分數為94.77,high分數為98.45,easy分數為99.15,interesting分數為99.74,clear分數為99.58,implicit分數為99.16,heavy分數為92.46,boring分數為94.64,thoughtful分數為99.67,sweet分數為99.53,hard分數為98.51,cold分數為97.34."
"王正偉老師的商事法課程difficult分數為85.12,busy分數為81.83,low分數為76.62,high分數為85.01,easy分數為49.85,interesting分數為92.42,clear分數為91.38,implicit分數為90.16,heavy分數為85.77,boring分數為54.77,thoughtful分數為90.77,sweet分數為83.95,hard分數為85.19,cold分數為75.15."
"沈宗倫老師的商事法課程difficult分數為77.13,busy分數為88.02,low分數為77.7,high分數為90.65,easy分數為86.44,interesting分數為92.85,clear分數為94.15,implicit分數為91.81,heavy分數為85.79,boring分數為63.44,thoughtful分數為94.03,sweet分數為92.34,hard分數為76.8,cold分數為86.18."
"方嘉麟老師的商事法課程difficult分數為50.72,busy分數為59.24,low分數為46.91,high分數為74.71,easy分數為38.65,interesting分數為70.21,clear分數為67.42,implicit分數為69.86,heavy分數為45.7,boring分數為27.23,thoughtful分數為76.99,sweet分數為60.94,hard分數為49.45,cold分數為46.34."
"劉承愚老師的商事法課程difficult分數為93.1,busy分數為97.1,low分數為98.32,high分數為96.26,easy分數為98.25,interesting分數為98.54,clear分數為98.85,implicit分數為97.29,heavy分數為94.29,boring分數為92.95,thoughtful分數為98.99,sweet分數為98.16,hard分數為93.39,cold分數為95.95."
"魏杏芳老師的商事法課程difficult分數為95.5,busy分數為88.12,low分數為47.34,high分數為58.87,easy分數為33.54,interesting分數為98.83,clear分數為80.46,implicit分數為73.84,heavy分數為78.2,boring分數為9.59,thoughtful分數為99.24,sweet分數為96.96,hard分數為91.49,cold分數為32.12."
"詹聰哲老師的商事法課程difficult分數為98.17,busy分數為98.67,low分數為96.56,high分數為98.7,easy分數為98.83,interesting分數為99.41,clear分數為99.37,implicit分數為98.1,heavy分數為99.06,boring分數為91.34,thoughtful分數為99.45,sweet分數為99.12,hard分數為99.29,cold分數為97.19."
"陳盈如老師的商事法課程difficult分數為93.82,busy分數為97.02,low分數為79.85,high分數為98.41,easy分數為42.04,interesting分數為99.14,clear分數為98.8,implicit分數為89.72,heavy分數為95.63,boring分數為7.13,thoughtful分數為99.11,sweet分數為97.48,hard分數為95.54,cold分數為87.92."
"陳盈如、葉啓洲老師的商事法課程difficult分數為75.2,busy分數為48.37,low分數為85.76,high分數為42.82,easy分數為4.67,interesting分數為99.43,clear分數為98.38,implicit分數為28.29,heavy分數為26.22,boring分數為0.06,thoughtful分數為95.9,sweet分數為89.05,hard分數為71.92,cold分數為17.57."
"張欣綠老師的資料處理課程difficult分數為75.46,busy分數為78.8,low分數為66.89,high分數為74.3,easy分數為66.41,interesting分數為85.2,clear分數為84.67,implicit分數為83.83,heavy分數為75.32,boring分數為34.39,thoughtful分數為88.14,sweet分數為78.48,hard分數為76.5,cold分數為60.3."
"尚孝純老師的資料處理課程difficult分數為39.59,busy分數為65.37,low分數為59.38,high分數為68.59,easy分數為52.25,interesting分數為82.28,clear分數為77.12,implicit分數為77.23,heavy分數為50.39,boring分數為13.98,thoughtful分數為82.35,sweet分數為67.81,hard分數為31.91,cold分數為52.35."
"周彥君老師的資料處理課程difficult分數為70.43,busy分數為83.81,low分數為43.64,high分數為33.7,easy分數為35.19,interesting分數為87.06,clear分數為75.53,implicit分數為59.7,heavy分數為76.07,boring分數為25.35,thoughtful分數為87.45,sweet分數為52.03,hard分數為78.22,cold分數為42.69."
"杜雨儒老師的資料處理課程difficult分數為74.26,busy分數為80.42,low分數為28.75,high分數為89.0,easy分數為82.49,interesting分數為93.91,clear分數為77.18,implicit分數為44.5,heavy分數為43.5,boring分數為8.03,thoughtful分數為89.1,sweet分數為93.11,hard分數為71.98,cold分數為40.91."
"周彥君、莊皓鈞老師的資料處理課程difficult分數為0.38,busy分數為1.11,low分數為98.52,high分數為0.21,easy分數為90.17,interesting分數為3.06,clear分數為91.72,implicit分數為38.74,heavy分數為0.27,boring分數為14.33,thoughtful分數為2.57,sweet分數為0.79,hard分數為0.52,cold分數為51.86."
"杜雨儒、張欣綠老師的資料處理課程difficult分數為63.88,busy分數為53.38,low分數為46.85,high分數為95.99,easy分數為66.47,interesting分數為99.27,clear分數為90.69,implicit分數為70.47,heavy分數為2.1,boring分數為5.18,thoughtful分數為96.06,sweet分數為97.45,hard分數為42.88,cold分數為34.26."
"王文英老師的成本管理會計（二）課程difficult分數為98.36,busy分數為98.98,low分數為94.21,high分數為99.23,easy分數為95.79,interesting分數為99.69,clear分數為99.59,implicit分數為98.92,heavy分數為98.91,boring分數為86.49,thoughtful分數為99.67,sweet分數為99.36,hard分數為99.27,cold分數為95.94."
"梁嘉紋老師的成本管理會計（二）課程difficult分數為89.81,busy分數為89.97,low分數為87.66,high分數為88.64,easy分數為60.79,interesting分數為96.05,clear分數為94.43,implicit分數為94.84,heavy分數為89.65,boring分數為60.82,thoughtful分數為96.54,sweet分數為87.21,hard分數為91.41,cold分數為86.69."
"李佳玲老師的成本管理會計（二）課程difficult分數為99.24,busy分數為98.92,low分數為27.31,high分數為93.7,easy分數為35.73,interesting分數為99.91,clear分數為99.7,implicit分數為89.11,heavy分數為97.55,boring分數為7.34,thoughtful分數為99.59,sweet分數為99.21,hard分數為98.78,cold分數為42.34."
"徐愛恩老師的成本管理會計（二）課程difficult分數為83.46,busy分數為79.95,low分數為50.08,high分數為93.15,easy分數為65.64,interesting分數為96.12,clear分數為98.45,implicit分數為92.09,heavy分數為69.38,boring分數為5.57,thoughtful分數為96.74,sweet分數為95.92,hard分數為79.86,cold分數為39.1."
"黃秉德老師的社會責任與倫理課程difficult分數為71.73,busy分數為80.25,low分數為54.96,high分數為8.7,easy分數為2.56,interesting分數為79.45,clear分數為13.22,implicit分數為38.04,heavy分數為77.64,boring分數為1.67,thoughtful分數為72.17,sweet分數為50.86,hard分數為67.2,cold分數為79.06."
"蘇威傑老師的社會責任與倫理課程difficult分數為94.94,busy分數為97.36,low分數為69.6,high分數為96.89,easy分數為90.82,interesting分數為98.56,clear分數為98.26,implicit分數為95.67,heavy分數為95.7,boring分數為87.85,thoughtful分數為98.45,sweet分數為96.47,hard分數為96.7,cold分數為88.4."
"劉世慶老師的社會責任與倫理課程difficult分數為82.3,busy分數為89.84,low分數為62.73,high分數為90.58,easy分數為74.87,interesting分數為95.92,clear分數為94.29,implicit分數為91.68,heavy分數為87.41,boring分數為37.14,thoughtful分數為96.7,sweet分數為93.13,hard分數為88.41,cold分數為44.24."
"陳立民老師的社會責任與倫理課程difficult分數為99.22,busy分數為82.18,low分數為33.2,high分數為98.48,easy分數為99.31,interesting分數為99.94,clear分數為99.88,implicit分數為93.11,heavy分數為26.05,boring分數為2.84,thoughtful分數為98.71,sweet分數為99.8,hard分數為98.7,cold分數為54.38."
"譚丹琪、蘇威傑老師的社會責任與倫理課程difficult分數為70.83,busy分數為79.13,low分數為50.36,high分數為87.45,easy分數為49.74,interesting分數為99.27,clear分數為97.49,implicit分數為95.2,heavy分數為25.39,boring分數為3.54,thoughtful分數為98.16,sweet分數為97.48,hard分數為64.11,cold分數為25.59."
"邱志聖、譚丹琪、蘇威傑老師的社會責任與倫理課程difficult分數為69.7,busy分數為26.75,low分數為82.9,high分數為2.83,easy分數為0.74,interesting分數為97.08,clear分數為2.84,implicit分數為56.32,heavy分數為77.36,boring分數為0.53,thoughtful分數為29.31,sweet分數為7.62,hard分數為52.68,cold分數為3.51."
"朴星俊老師的社會責任與倫理課程difficult分數為98.57,busy分數為97.31,low分數為66.5,high分數為76.04,easy分數為7.62,interesting分數為99.62,clear分數為93.64,implicit分數為93.06,heavy分數為82.12,boring分數為2.26,thoughtful分數為98.28,sweet分數為90.15,hard分數為99.23,cold分數為52.49."
"柯玉佳老師的社會責任與倫理課程difficult分數為74.29,busy分數為71.72,low分數為26.26,high分數為53.37,easy分數為9.63,interesting分數為88.22,clear分數為73.97,implicit分數為54.62,heavy分數為98.39,boring分數為16.43,thoughtful分數為93.79,sweet分數為92.47,hard分數為70.91,cold分數為23.26."
"別蓮蒂老師的社會責任與倫理課程difficult分數為91.77,busy分數為93.63,low分數為77.61,high分數為98.15,easy分數為60.42,interesting分數為99.05,clear分數為98.8,implicit分數為95.32,heavy分數為96.07,boring分數為45.4,thoughtful分數為99.22,sweet分數為97.07,hard分數為93.05,cold分數為72.58."
"張宜武老師的微積分課程difficult分數為77.64,busy分數為81.28,low分數為44.01,high分數為67.69,easy分數為45.82,interesting分數為84.75,clear分數為74.13,implicit分數為90.84,heavy分數為75.85,boring分數為39.9,thoughtful分數為85.64,sweet分數為63.39,hard分數為75.01,cold分數為67.76."
"符聖珍老師的微積分（理工）課程difficult分數為88.74,busy分數為63.95,low分數為29.29,high分數為59.93,easy分數為50.43,interesting分數為81.63,clear分數為96.23,implicit分數為38.85,heavy分數為20.76,boring分數為29.02,thoughtful分數為93.22,sweet分數為73.11,hard分數為86.05,cold分數為12.79."
"陳政輝老師的微積分課程difficult分數為94.19,busy分數為95.37,low分數為88.36,high分數為96.14,easy分數為91.41,interesting分數為97.55,clear分數為97.52,implicit分數為95.69,heavy分數為96.16,boring分數為70.04,thoughtful分數為98.3,sweet分數為96.43,hard分數為93.24,cold分數為85.26."
